frame,qr,esquina,x,y
80,127,right_top,586,597
80,127,right_bottom,590,547
81,127,left_top,544,589
81,127,left_bottom,548,540
81,127,right_top,590,600
81,127,right_bottom,595,550
81,71,left_top,177,572
81,71,left_bottom,174,530
81,71,right_top,224,573
81,71,right_bottom,222,531
81,127,left_top,544,589
81,127,left_bottom,548,540
81,127,right_top,590,600
81,127,right_bottom,595,550
82,127,left_top,546,594
82,127,left_bottom,550,546
82,127,right_top,591,607
82,127,right_bottom,596,557
82,71,left_top,182,575
82,71,left_bottom,180,533
82,71,right_top,228,577
82,71,right_bottom,227,535
82,127,left_top,546,594
82,127,left_bottom,550,546
82,127,right_top,591,607
82,127,right_bottom,596,557
83,71,left_top,186,579
83,71,left_bottom,185,537
83,71,right_top,233,581
83,71,right_bottom,231,539
84,138,left_top,398,702
84,138,left_bottom,399,660
84,138,right_top,441,707
84,138,right_bottom,443,664
84,138,left_top,398,702
84,138,left_bottom,399,660
84,138,right_top,441,707
84,138,right_bottom,443,664
85,138,left_top,401,702
85,138,left_bottom,402,660
85,138,right_top,443,707
85,138,right_bottom,446,664
85,138,left_top,401,702
85,138,left_bottom,402,660
85,138,right_top,443,707
85,138,right_bottom,446,664
86,127,left_top,552,604
86,127,left_bottom,555,556
86,127,right_top,595,617
86,127,right_bottom,600,568
86,138,left_top,405,698
86,138,left_bottom,407,657
86,138,right_top,448,704
86,138,right_bottom,451,661
86,127,left_top,552,604
86,127,left_bottom,555,556
86,127,right_top,595,617
86,127,right_bottom,600,568
86,138,left_top,405,698
86,138,left_bottom,407,657
86,138,right_top,448,704
86,138,right_bottom,451,661
87,127,left_top,557,602
87,127,left_bottom,560,554
87,127,right_top,599,615
87,127,right_bottom,604,566
87,127,left_top,557,602
87,127,left_bottom,560,554
87,127,right_top,599,615
87,127,right_bottom,604,566
88,127,left_top,559,601
88,127,left_bottom,562,553
88,127,right_top,601,614
88,127,right_bottom,606,565
88,138,left_top,413,695
88,138,left_bottom,415,653
88,138,right_top,456,701
88,138,right_bottom,458,658
88,127,left_top,559,601
88,127,left_bottom,562,553
88,127,right_top,601,614
88,127,right_bottom,606,565
88,138,left_top,413,695
88,138,left_bottom,415,653
88,138,right_top,456,701
88,138,right_bottom,458,658
89,138,left_top,414,695
89,138,left_bottom,416,654
89,138,right_top,457,702
89,138,right_bottom,459,659
89,138,left_top,414,695
89,138,left_bottom,416,654
89,138,right_top,457,702
89,138,right_bottom,459,659
90,138,left_top,416,696
90,138,left_bottom,417,655
90,138,right_top,458,703
90,138,right_bottom,460,660
90,138,left_top,416,696
90,138,left_bottom,417,655
90,138,right_top,458,703
90,138,right_bottom,460,660
91,138,left_top,418,696
91,138,left_bottom,420,655
91,138,right_top,460,703
91,138,right_bottom,462,660
91,138,left_top,418,696
91,138,left_bottom,420,655
91,138,right_top,460,703
91,138,right_bottom,462,660
92,138,left_top,418,696
92,138,left_bottom,420,655
92,138,right_top,460,703
92,138,right_bottom,463,661
92,138,left_top,418,696
92,138,left_bottom,420,655
92,138,right_top,460,703
92,138,right_bottom,463,661
93,127,left_top,562,606
93,127,left_bottom,565,558
93,127,right_top,602,620
93,127,right_bottom,606,570
93,127,left_top,562,606
93,127,left_bottom,565,558
93,127,right_top,602,620
93,127,right_bottom,606,570
94,127,left_top,564,607
94,127,left_bottom,567,559
94,127,right_top,605,620
94,127,right_bottom,609,571
94,138,left_top,423,697
94,138,left_bottom,426,656
94,138,right_top,466,704
94,138,right_bottom,468,662
94,127,left_top,564,607
94,127,left_bottom,567,559
94,127,right_top,605,620
94,127,right_bottom,609,571
94,138,left_top,423,697
94,138,left_bottom,426,656
94,138,right_top,466,704
94,138,right_bottom,468,662
95,127,left_top,565,608
95,127,left_bottom,568,560
95,127,right_top,605,622
95,127,right_bottom,609,573
95,127,left_top,565,608
95,127,left_bottom,568,560
95,127,right_top,605,622
95,127,right_bottom,609,573
96,127,left_top,565,608
96,127,left_bottom,568,561
96,127,right_top,605,623
96,127,right_bottom,609,573
96,138,left_top,425,699
96,138,left_bottom,428,657
96,138,right_top,467,706
96,138,right_bottom,470,663
96,127,left_top,565,608
96,127,left_bottom,568,561
96,127,right_top,605,623
96,127,right_bottom,609,573
96,138,left_top,425,699
96,138,left_bottom,428,657
96,138,right_top,467,706
96,138,right_bottom,470,663
97,127,left_top,564,607
97,127,left_bottom,568,559
97,127,right_top,605,622
97,127,right_bottom,608,572
97,127,left_top,564,607
97,127,left_bottom,568,559
97,127,right_top,605,622
97,127,right_bottom,608,572
98,138,left_top,425,698
98,138,left_bottom,427,656
98,138,right_top,467,706
98,138,right_bottom,468,663
98,138,left_top,425,698
98,138,left_bottom,427,656
98,138,right_top,467,706
98,138,right_bottom,468,663
99,127,left_top,562,608
99,127,left_bottom,566,560
99,127,right_top,602,624
99,127,right_bottom,606,573
99,138,left_top,425,699
99,138,left_bottom,426,658
99,138,right_top,467,707
99,138,right_bottom,468,664
99,127,left_top,562,608
99,127,left_bottom,566,560
99,127,right_top,602,624
99,127,right_bottom,606,573
99,138,left_top,425,699
99,138,left_bottom,426,658
99,138,right_top,467,707
99,138,right_bottom,468,664
100,127,left_top,564,609
100,127,left_bottom,567,559
100,127,right_top,603,623
100,127,right_bottom,607,572
100,138,left_top,427,699
100,138,left_bottom,428,657
100,138,right_top,468,707
100,138,right_bottom,471,664
100,127,left_top,564,609
100,127,left_bottom,567,559
100,127,right_top,603,623
100,127,right_bottom,607,572
100,138,left_top,427,699
100,138,left_bottom,428,657
100,138,right_top,468,707
100,138,right_bottom,471,664
101,127,left_top,567,608
101,127,left_bottom,570,558
101,127,right_top,606,622
101,127,right_bottom,610,571
101,127,left_top,567,608
101,127,left_bottom,570,558
101,127,right_top,606,622
101,127,right_bottom,610,571
102,138,left_top,432,699
102,138,left_bottom,434,656
102,138,right_top,474,707
102,138,right_bottom,476,663
102,138,left_top,432,699
102,138,left_bottom,434,656
102,138,right_top,474,707
102,138,right_bottom,476,663
103,127,left_top,571,606
103,127,left_bottom,574,557
103,127,right_top,610,622
103,127,right_bottom,614,569
103,138,left_top,434,699
103,138,left_bottom,436,656
103,138,right_top,476,707
103,138,right_bottom,478,664
103,127,left_top,571,606
103,127,left_bottom,574,557
103,127,right_top,610,622
103,127,right_bottom,614,569
103,138,left_top,434,699
103,138,left_bottom,436,656
103,138,right_top,476,707
103,138,right_bottom,478,664
105,127,left_top,576,610
105,127,left_bottom,579,559
105,127,right_top,615,626
105,127,right_bottom,619,572
105,127,left_top,576,610
105,127,left_bottom,579,559
105,127,right_top,615,626
105,127,right_bottom,619,572
106,127,left_top,578,614
106,127,left_bottom,581,563
106,127,right_top,616,630
106,127,right_bottom,620,576
106,127,left_top,578,614
106,127,left_bottom,581,563
106,127,right_top,616,630
106,127,right_bottom,620,576
107,127,left_top,580,620
107,127,left_bottom,583,568
107,127,right_top,618,634
107,127,right_bottom,622,581
107,127,left_top,580,620
107,127,left_bottom,583,568
107,127,right_top,618,634
107,127,right_bottom,622,581
108,127,left_top,582,624
108,127,left_bottom,584,573
108,127,right_top,620,641
108,127,right_bottom,624,586
108,127,left_top,582,624
108,127,left_bottom,584,573
108,127,right_top,620,641
108,127,right_bottom,624,586
109,127,left_top,585,626
109,127,left_bottom,588,574
109,127,right_top,623,642
109,127,right_bottom,627,589
109,127,left_top,585,626
109,127,left_bottom,588,574
109,127,right_top,623,642
109,127,right_bottom,627,589
110,127,left_top,590,625
110,127,left_bottom,593,571
110,127,right_top,628,640
110,127,right_bottom,632,585
110,127,left_top,590,625
110,127,left_bottom,593,571
110,127,right_top,628,640
110,127,right_bottom,632,585
113,127,left_top,608,620
113,127,left_bottom,611,566
113,127,right_top,646,637
113,127,right_bottom,650,581
113,127,left_top,608,620
113,127,left_bottom,611,566
113,127,right_top,646,637
113,127,right_bottom,650,581
114,127,left_top,612,621
114,127,left_bottom,615,566
114,127,right_top,650,638
114,127,right_bottom,654,581
114,127,left_top,612,621
114,127,left_bottom,615,566
114,127,right_top,650,638
114,127,right_bottom,654,581
115,127,left_top,620,621
115,127,left_bottom,623,566
115,127,right_top,657,638
115,127,right_bottom,661,581
115,138,left_top,484,715
115,138,left_bottom,486,670
115,138,right_top,526,726
115,138,right_bottom,529,678
115,127,left_top,620,621
115,127,left_bottom,623,566
115,127,right_top,657,638
115,127,right_bottom,661,581
115,138,left_top,484,715
115,138,left_bottom,486,670
115,138,right_top,526,726
115,138,right_bottom,529,678
116,127,left_top,626,622
116,127,left_bottom,629,566
116,127,right_top,663,638
116,127,right_bottom,668,581
116,138,left_top,490,715
116,138,left_bottom,493,670
116,138,right_top,532,726
116,138,right_bottom,536,679
116,127,left_top,626,622
116,127,left_bottom,629,566
116,127,right_top,663,638
116,127,right_bottom,668,581
116,138,left_top,490,715
116,138,left_bottom,493,670
116,138,right_top,532,726
